33,67159,67155,Bradshaw Ranger District,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67159&actid=33
33,80063,67155,Crown King Area (Horsethief Basin),prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=80063&actid=33
33,67193,67155,Turney Gulch Group Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67193&actid=33
33,80064,67155,Groom Creek Area,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=80064&actid=33
33,67187,67155,Upper Wolf Creek Group Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67187&actid=33
33,75178,67155,Lynx Lake Recreation Area,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=75178&actid=33
33,75329,67155,Eagle Ridge Group Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=75329&actid=33
33,67161,67155,Verde Ranger District,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67161&actid=33
33,80052,67155,Mingus Mountain,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=80052&actid=33
33,67191,67155,Playground Group Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67191&actid=33
31,67159,67155,Bradshaw Ranger District,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67159&actid=31
31,75174,67155,Granite Basin Recreation Area,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=75174&actid=31
31,67185,67155,Yavapai Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67185&actid=31
31,80064,67155,Groom Creek Area,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=80064&actid=31
31,67167,67155,Lower Wolf Creek Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67167&actid=31
31,67187,67155,Upper Wolf Creek Group Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67187&actid=31
31,75178,67155,Lynx Lake Recreation Area,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=75178&actid=31
31,75329,67155,Eagle Ridge Group Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=75329&actid=31
31,67183,67155,Hilltop Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67183&actid=31
31,67181,67155,Lynx Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67181&actid=31
31,80066,67155,Prescott to Wickenberg via White Spar Road,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=80066&actid=31
31,67165,67155,White Spar Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67165&actid=31
31,67161,67155,Verde Ranger District,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67161&actid=31
31,80083,67155,Cherry Area,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=80083&actid=31
31,67179,67155,Powell Springs Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67179&actid=31
31,80052,67155,Mingus Mountain,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=80052&actid=31
31,67173,67155,Mingus Mountain Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67173&actid=31
31,67191,67155,Playground Group Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67191&actid=31
31,67175,67155,Potato Patch Campground,prescott,https://fs.usda.gov/recarea/prescott/recreation/camping-cabins/recarea/?recid=67175&actid=31
101,12411,12403,Leadville Ranger District,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12411&actid=101
101,81969,12403,Clear Creek Canyon,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=81969&actid=101
101,12461,12403,Crescent Mining Camp,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12461&actid=101
101,12464,12403,Dawson Cabin,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12464&actid=101
101,12406,12403,Salida Ranger District,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12406&actid=101
101,12636,12403,Bassam Guardstation and Cabin,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12636&actid=101
101,12407,12403,San Carlos Ranger District,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12407&actid=101
101,12753,12403,Lake Isabel Cabin,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12753&actid=101
101,12763,12403,Mingus Ranch Cabin,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12763&actid=101
101,12408,12403,South Park Ranger District,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12408&actid=101
101,12822,12403,Boreas Pass Section House,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12822&actid=101
101,12874,12403,Robert's Cabin,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12874&actid=101
29,12404,12403,Cimarron National Grassland,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12404&actid=29
29,12417,12403,Cimarron Recreation Area<,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12417&actid=29
29,12413,12403,Cimarron Campground,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12413&actid=29
29,12411,12403,Leadville Ranger District,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12411&actid=29
29,81968,12403,Halfmoon Recreation Area,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=81968&actid=29
29,12469,12403,Elbert Creek Campground,psicc,https://fs.usda.gov/recarea/psicc/recreation/camping-cabins/recarea/?recid=12469&actid=29
